Geração 0Melhor: 1000101000x = [0.15835777126099693]Fitness: 1.618023138273149
Geração 1Melhor: 0111100111x = [-0.09579667644183765]Fitness: 0.8176359673654443
Geração 2Melhor: 1000001110x = [0.0566959921798631]Fitness: 0.3909160688411224
Geração 3Melhor: 1000001110x = [0.0566959921798631]Fitness: 0.3909160688411224
Geração 4Melhor: 1000001110x = [0.0566959921798631]Fitness: 0.3909160688411224
Geração 5Melhor: 1000001110x = [0.0566959921798631]Fitness: 0.3909160688411224
Geração 6Melhor: 1000001110x = [0.0566959921798631]Fitness: 0.3909160688411224
Geração 7Melhor: 1000001110x = [0.0566959921798631]Fitness: 0.3909160688411224
Geração 8Melhor: 1000001110x = [0.0566959921798631]Fitness: 0.3909160688411224
Geração 9Melhor: 1000001110x = [0.0566959921798631]Fitness: 0.3909160688411224
Geração 10Melhor: 1000001110x = [0.0566959921798631]Fitness: 0.3909160688411224
Geração 11Melhor: 1000001110x = [0.0566959921798631]Fitness: 0.3909160688411224
Geração 12Melhor: 1000001110x = [0.0566959921798631]Fitness: 0.3909160688411224
Geração 13Melhor: 1000001110x = [0.0566959921798631]Fitness: 0.3909160688411224
Geração 14Melhor: 1000001110x = [0.0566959921798631]Fitness: 0.3909160688411224
Geração 15Melhor: 1000001110x = [0.0566959921798631]Fitness: 0.3909160688411224
Geração 16Melhor: 1000001110x = [0.0566959921798631]Fitness: 0.3909160688411224
Geração 17Melhor: 1000001110x = [0.0566959921798631]Fitness: 0.3909160688411224
Geração 18Melhor: 1000001110x = [0.0566959921798631]Fitness: 0.3909160688411224
Geração 19Melhor: 1000001110x = [0.0566959921798631]Fitness: 0.3909160688411224
