Geração 0Melhor: 01111100010111110110x = [-0.0566959921798631, -0.03714565004887582]Fitness: 0.31027189213073614
Geração 1Melhor: 01110001011000000010x = [-0.22873900293255134, 0.009775171065493637]Fitness: 1.5948772142109644
Geração 2Melhor: 01111110011000000010x = [-0.025415444770283457, 0.009775171065493637]Fitness: 0.09665456544894058
Geração 3Melhor: 01111110011000000000x = [-0.025415444770283457, 0.0019550342130987275]Fitness: 0.08930815054064611
Geração 4Melhor: 01111110011000000000x = [-0.025415444770283457, 0.0019550342130987275]Fitness: 0.08930815054064611
Geração 5Melhor: 01111110011000000000x = [-0.025415444770283457, 0.0019550342130987275]Fitness: 0.08930815054064611
Geração 6Melhor: 10000000010111110110x = [0.0058651026392961825, -0.03714565004887582]Fitness: 0.14359459626906856
Geração 7Melhor: 10000000010111110111x = [0.0058651026392961825, -0.03323558162267837]Fitness: 0.12550954041614704
Geração 8Melhor: 01111110010111110110x = [-0.025415444770283457, -0.03714565004887582]Fitness: 0.18050554475427605
Geração 9Melhor: 01111110010111111110x = [-0.025415444770283457, -0.0058651026392961825]Fitness: 0.09179385021654385
Geração 10Melhor: 01111110010111111110x = [-0.025415444770283457, -0.0058651026392961825]Fitness: 0.09179385021654385
Geração 11Melhor: 01111110010111111110x = [-0.025415444770283457, -0.0058651026392961825]Fitness: 0.09179385021654385
Geração 12Melhor: 01111111010111111110x = [-0.009775171065493637, -0.0058651026392961825]Fitness: 0.035700566977024284
Geração 13Melhor: 01111110010111111111x = [-0.025415444770283457, -0.0019550342130987275]Fitness: 0.08930815054064611
Geração 14Melhor: 01111111010111111110x = [-0.009775171065493637, -0.0058651026392961825]Fitness: 0.035700566977024284
Geração 15Melhor: 01111111110111111110x = [-0.0019550342130987275, -0.0058651026392961825]Fitness: 0.018503839187996807
Geração 16Melhor: 01111111110111111110x = [-0.0019550342130987275, -0.0058651026392961825]Fitness: 0.018503839187996807
Geração 17Melhor: 01111111110111111110x = [-0.0019550342130987275, -0.0058651026392961825]Fitness: 0.018503839187996807
Geração 18Melhor: 01111111010111111111x = [-0.009775171065493637, -0.0019550342130987275]Fitness: 0.030840024371926678
Geração 19Melhor: 01111111110111111111x = [-0.0019550342130987275, -0.0019550342130987275]Fitness: 0.008023682424568523
Geração 20Melhor: 01111111110111111111x = [-0.0019550342130987275, -0.0019550342130987275]Fitness: 0.008023682424568523
Geração 21Melhor: 01111111110111111111x = [-0.0019550342130987275, -0.0019550342130987275]Fitness: 0.008023682424568523
Geração 22Melhor: 01111111110111111111x = [-0.0019550342130987275, -0.0019550342130987275]Fitness: 0.008023682424568523
Geração 23Melhor: 01111111110111111111x = [-0.0019550342130987275, -0.0019550342130987275]Fitness: 0.008023682424568523
Geração 24Melhor: 01111111110111111111x = [-0.0019550342130987275, -0.0019550342130987275]Fitness: 0.008023682424568523
Geração 25Melhor: 01111111110111111111x = [-0.0019550342130987275, -0.0019550342130987275]Fitness: 0.008023682424568523
Geração 26Melhor: 01111111110111111111x = [-0.0019550342130987275, -0.0019550342130987275]Fitness: 0.008023682424568523
Geração 27Melhor: 01111111110111111111x = [-0.0019550342130987275, -0.0019550342130987275]Fitness: 0.008023682424568523
Geração 28Melhor: 01111111110111111111x = [-0.0019550342130987275, -0.0019550342130987275]Fitness: 0.008023682424568523
Geração 29Melhor: 01111111110111111111x = [-0.0019550342130987275, -0.0019550342130987275]Fitness: 0.008023682424568523
Geração 30Melhor: 01111111110111111111x = [-0.0019550342130987275, -0.0019550342130987275]Fitness: 0.008023682424568523
Geração 31Melhor: 01111111110111111111x = [-0.0019550342130987275, -0.0019550342130987275]Fitness: 0.008023682424568523
