p,taxa_corte,lambda,num_polens,melhor_makespan,tempo_execucao
0.1,0.2,1.0,50,2696.0,8.468801021575928
0.1,0.2,1.0,100,2701.0,17.119351148605347
0.1,0.2,1.0,200,2687.0,33.18904781341553
0.1,0.2,1.5,50,2687.0,8.372673273086548
0.1,0.2,1.5,100,2684.0,16.84227728843689
0.1,0.2,1.5,200,2673.0,33.58650350570679
0.1,0.2,2.0,50,2678.0,8.536637544631958
0.1,0.2,2.0,100,2687.0,17.560626983642578
0.1,0.2,2.0,200,2676.0,34.27585959434509
0.1,0.4,1.0,50,2704.0,8.557992935180664
0.1,0.4,1.0,100,2696.0,17.39098620414734
0.1,0.4,1.0,200,2689.0,33.495737075805664
0.1,0.4,1.5,50,2694.0,8.512848377227783
0.1,0.4,1.5,100,2679.0,17.51041054725647
0.1,0.4,1.5,200,2670.0,35.22609233856201
0.1,0.4,2.0,50,2694.0,9.03517198562622
0.1,0.4,2.0,100,2698.0,17.87717032432556
0.1,0.4,2.0,200,2687.0,33.89929699897766
0.1,0.6,1.0,50,2714.0,8.397685289382935
0.1,0.6,1.0,100,2701.0,16.646308422088623
0.1,0.6,1.0,200,2704.0,34.295021295547485
0.1,0.6,1.5,50,2716.0,8.391577243804932
0.1,0.6,1.5,100,2711.0,17.12793803215027
0.1,0.6,1.5,200,2704.0,34.383376359939575
0.1,0.6,2.0,50,2712.0,8.447179317474365
0.1,0.6,2.0,100,2686.0,16.9897780418396
0.1,0.6,2.0,200,2691.0,34.294612884521484
0.2,0.2,1.0,50,2706.0,8.937369346618652
0.2,0.2,1.0,100,2697.0,17.40110492706299
0.2,0.2,1.0,200,2673.0,35.09006857872009
0.2,0.2,1.5,50,2699.0,9.099426984786987
0.2,0.2,1.5,100,2687.0,17.54918146133423
0.2,0.2,1.5,200,2681.0,34.94688653945923
0.2,0.2,2.0,50,2701.0,8.787331342697144
0.2,0.2,2.0,100,2679.0,17.522151231765747
0.2,0.2,2.0,200,2678.0,34.3631591796875
0.2,0.4,1.0,50,2706.0,8.696584224700928
0.2,0.4,1.0,100,2679.0,17.162559270858765
0.2,0.4,1.0,200,2687.0,34.174670457839966
0.2,0.4,1.5,50,2688.0,8.589402675628662
0.2,0.4,1.5,100,2682.0,17.491352558135986
0.2,0.4,1.5,200,2687.0,33.986918210983276
0.2,0.4,2.0,50,2692.0,8.556530237197876
0.2,0.4,2.0,100,2683.0,17.074468851089478
0.2,0.4,2.0,200,2672.0,34.400166273117065
0.2,0.6,1.0,50,2696.0,8.524020910263062
0.2,0.6,1.0,100,2699.0,17.2539119720459
0.2,0.6,1.0,200,2697.0,33.69476008415222
0.2,0.6,1.5,50,2709.0,8.419027328491211
0.2,0.6,1.5,100,2690.0,16.87373995780945
0.2,0.6,1.5,200,2687.0,34.342387437820435
0.2,0.6,2.0,50,2696.0,8.801965475082397
0.2,0.6,2.0,100,2715.0,17.201200485229492
0.2,0.6,2.0,200,2703.0,34.48323965072632
0.5,0.2,1.0,50,2690.0,9.08503532409668
0.5,0.2,1.0,100,2683.0,18.801857948303223
0.5,0.2,1.0,200,2676.0,36.26424980163574
0.5,0.2,1.5,50,2695.0,8.946923971176147
0.5,0.2,1.5,100,2687.0,17.80176281929016
0.5,0.2,1.5,200,2671.0,35.896578550338745
0.5,0.2,2.0,50,2691.0,8.834130764007568
0.5,0.2,2.0,100,2692.0,17.95463752746582
0.5,0.2,2.0,200,2691.0,34.97237038612366
0.5,0.4,1.0,50,2688.0,8.963951587677002
0.5,0.4,1.0,100,2675.0,17.443493843078613
0.5,0.4,1.0,200,2677.0,35.341177463531494
0.5,0.4,1.5,50,2692.0,8.963877201080322
0.5,0.4,1.5,100,2676.0,17.850309371948242
0.5,0.4,1.5,200,2675.0,35.685043811798096
0.5,0.4,2.0,50,2687.0,9.635846853256226
0.5,0.4,2.0,100,2700.0,18.621314764022827
0.5,0.4,2.0,200,2678.0,36.88080406188965
0.5,0.6,1.0,50,2718.0,9.321042776107788
0.5,0.6,1.0,100,2689.0,17.90139603614807
0.5,0.6,1.0,200,2686.0,35.77903604507446
0.5,0.6,1.5,50,2701.0,9.047006368637085
0.5,0.6,1.5,100,2708.0,18.36650562286377
0.5,0.6,1.5,200,2692.0,35.387330055236816
0.5,0.6,2.0,50,2705.0,9.066938877105713
0.5,0.6,2.0,100,2697.0,17.826857328414917
0.5,0.6,2.0,200,2686.0,35.788949966430664
0.8,0.2,1.0,50,2711.0,9.193603515625
0.8,0.2,1.0,100,2700.0,18.242979049682617
0.8,0.2,1.0,200,2700.0,36.382567405700684
0.8,0.2,1.5,50,2700.0,9.253668546676636
0.8,0.2,1.5,100,2703.0,18.418169260025024
0.8,0.2,1.5,200,2690.0,37.507482290267944
0.8,0.2,2.0,50,2701.0,9.51976990699768
0.8,0.2,2.0,100,2716.0,19.493003845214844
0.8,0.2,2.0,200,2709.0,38.14493942260742
0.8,0.4,1.0,50,2694.0,9.333576917648315
0.8,0.4,1.0,100,2692.0,19.12300395965576
0.8,0.4,1.0,200,2701.0,37.31421446800232
0.8,0.4,1.5,50,2709.0,9.723813772201538
0.8,0.4,1.5,100,2709.0,18.64368987083435
0.8,0.4,1.5,200,2692.0,37.2543158531189
0.8,0.4,2.0,50,2707.0,9.404725313186646
0.8,0.4,2.0,100,2699.0,18.656158685684204
0.8,0.4,2.0,200,2698.0,36.57539224624634
0.8,0.6,1.0,50,2704.0,9.076956987380981
0.8,0.6,1.0,100,2701.0,18.16328239440918
0.8,0.6,1.0,200,2704.0,37.389127254486084
0.8,0.6,1.5,50,2702.0,9.506503582000732
0.8,0.6,1.5,100,2703.0,18.23978877067566
0.8,0.6,1.5,200,2692.0,37.04148244857788
0.8,0.6,2.0,50,2708.0,9.198593139648438
0.8,0.6,2.0,100,2702.0,18.469768285751343
0.8,0.6,2.0,200,2704.0,36.81948113441467
0.9,0.2,1.0,50,2699.0,9.290685653686523
0.9,0.2,1.0,100,2713.0,18.438395500183105
0.9,0.2,1.0,200,2712.0,36.62928295135498
0.9,0.2,1.5,50,2712.0,9.541946411132812
0.9,0.2,1.5,100,2708.0,18.61701798439026
0.9,0.2,1.5,200,2706.0,36.59867811203003
0.9,0.2,2.0,50,2728.0,9.292534351348877
0.9,0.2,2.0,100,2708.0,18.605679273605347
0.9,0.2,2.0,200,2709.0,36.8988037109375
0.9,0.4,1.0,50,2718.0,9.298199653625488
0.9,0.4,1.0,100,2715.0,18.54447650909424
0.9,0.4,1.0,200,2720.0,36.594709157943726
0.9,0.4,1.5,50,2724.0,9.347528219223022
0.9,0.4,1.5,100,2709.0,18.76843810081482
0.9,0.4,1.5,200,2707.0,36.62765669822693
0.9,0.4,2.0,50,2709.0,9.388326406478882
0.9,0.4,2.0,100,2706.0,18.678478717803955
0.9,0.4,2.0,200,2697.0,37.47974252700806
0.9,0.6,1.0,50,2715.0,9.305494546890259
0.9,0.6,1.0,100,2710.0,18.9962637424469
0.9,0.6,1.0,200,2690.0,37.33724784851074
0.9,0.6,1.5,50,2718.0,9.446054458618164
0.9,0.6,1.5,100,2718.0,19.257472276687622
0.9,0.6,1.5,200,2709.0,36.789329528808594
0.9,0.6,2.0,50,2722.0,9.29883599281311
0.9,0.6,2.0,100,2708.0,18.541759490966797
0.9,0.6,2.0,200,2707.0,37.883469104766846
