p,taxa_corte,lambda,num_polens,melhor_makespan,tempo_execucao
0.1,0.2,1.0,50,2498.0,6.456380605697632
0.1,0.2,1.0,100,2478.0,13.688640356063843
0.1,0.2,1.0,200,2471.0,27.244675159454346
0.1,0.2,1.5,50,2465.0,6.952064514160156
0.1,0.2,1.5,100,2485.0,13.432785511016846
0.1,0.2,1.5,200,2474.0,27.046282529830933
0.1,0.2,2.0,50,2482.0,7.1255714893341064
0.1,0.2,2.0,100,2466.0,13.724055051803589
0.1,0.2,2.0,200,2471.0,27.060742616653442
0.1,0.4,1.0,50,2487.0,6.837443828582764
0.1,0.4,1.0,100,2479.0,14.115094423294067
0.1,0.4,1.0,200,2466.0,27.22478747367859
0.1,0.4,1.5,50,2506.0,6.916191577911377
0.1,0.4,1.5,100,2466.0,13.791576862335205
0.1,0.4,1.5,200,2449.0,27.791912078857422
0.1,0.4,2.0,50,2488.0,6.808778762817383
0.1,0.4,2.0,100,2478.0,13.476499319076538
0.1,0.4,2.0,200,2455.0,27.839091062545776
0.1,0.6,1.0,50,2533.0,6.7701733112335205
0.1,0.6,1.0,100,2477.0,13.828932285308838
0.1,0.6,1.0,200,2434.0,27.565541744232178
0.1,0.6,1.5,50,2436.0,6.801838159561157
0.1,0.6,1.5,100,2482.0,14.324533462524414
0.1,0.6,1.5,200,2435.0,27.675679445266724
0.1,0.6,2.0,50,2480.0,6.624940633773804
0.1,0.6,2.0,100,2440.0,13.383220434188843
0.1,0.6,2.0,200,2459.0,27.759345293045044
0.2,0.2,1.0,50,2503.0,7.061570167541504
0.2,0.2,1.0,100,2498.0,13.635744333267212
0.2,0.2,1.0,200,2475.0,27.802629232406616
0.2,0.2,1.5,50,2485.0,6.863861799240112
0.2,0.2,1.5,100,2475.0,13.983255863189697
0.2,0.2,1.5,200,2496.0,28.177045345306396
0.2,0.2,2.0,50,2493.0,7.019388675689697
0.2,0.2,2.0,100,2494.0,13.956525087356567
0.2,0.2,2.0,200,2477.0,28.521503925323486
